Merchant,Category
TST-BURGERS N FRIES F,Restaurants
LCBO/RAO #758,Alcohol
1853_YYZ_RELAY,Travel
SQ *FOREST HILL FARMHOUSE,Restaurants
BUILT BURGER,Restaurants
LCBO/RAO #0310,Alcohol
TST-ROSIES BURGERS -,Restaurants
DOLLARAMA #1569,Shopping/Retail
TCKTWEB*THENEIGHBOURHO,Entertainment
PIZZA NOVA 320,Restaurants
GREEN CLEANERS,Personal Care
LEGO FAIRVIEW,Shopping/Retail
KETTLEMANS BAGEL - BAT,Restaurants
M&M FOOD MARKET #540,Groceries
DISTILLERY RESTAURANTS,Restaurants
SHAKESHACK ROPPONGI,Restaurants
SQ *BAGELS ON FIRE CAFE,Restaurants
SUNTORY MUSEUM OF ART,Entertainment
PIZZA NOVA 303,Restaurants
THE COOP BURLINGTON,Restaurants
PRESTO FARE/Q6KGD7RTLS,Transportation
TIM HORTONS #9436,Restaurants
MOBILE SUICA APPLE V,Transportation
SQ *TINY TOM DONUTS LIMIT,Restaurants
LUCCIANOS BARNA I,Travel
FUTURE BAKERY & CAFE,Restaurants
SQ *NORD LYON,Restaurants
GOOD NEWS BARCELONA 2020,Travel
GONG CHA (LIBERTY VILL,Restaurants
PRESTO FARE/QKDBS9V2H9,Transportation
FARMACIA LDO.CARLOS SANCH,Travel
TIM HORTONS #0024,Restaurants
FOOD BASICS 620,Groceries
REBOST 24H,Travel
FOOD BASICS 692,Groceries
SQ *LEE'S PALACE,Entertainment
PRESTO FARE/Q7VFB87B7V,Transportation
PRESTO FARE/PPMVVPVLDB,Transportation
DOLLARAMA #1395,Shopping/Retail
FAMILYMART,Travel
TORONTO PUBLIC LIBRARY,Other
Ritual-Pita Lite (bloo,Restaurants
Ritual-Ginger (yonge/B,Restaurants
Ritual-The Croissant T,Restaurants
Ritual-7 West Cafe (7,Restaurants
Ritual-Salad King (yon,Restaurants
Ritual-Burrito Boyz (d,Restaurants
Presto Fare/5dm79mwbjj,Transportation
Presto Fare/55c427rc9q,Transportation
Presto Fare/55f571kxnx,Transportation
Presto Fare/5f92gfmv6b,Transportation
Presto Fare/5fh27kncfq,Transportation
Presto Fare/5g342l7s2m,Transportation
Presto Fare/5g6n5hjj8d,Transportation
Presto Fare/5gg39ctjqm,Transportation
Presto Fare/5gmpk3rbkw,Transportation
Presto Fare/5gp6p9tvfx,Transportation
Presto Fare/5gplg15plv,Transportation
Presto Fare/5h00g2qhmg,Transportation
Presto Fare/5h02f27mhm,Transportation
Presto Fare/5h0d02zsbm,Transportation
Presto Fare/5h1nncnztz,Transportation
Presto Fare/5h21h4xtvl,Transportation
Presto Fare/5h3pm22tmz,Transportation
Presto Fare/Pgh9cnktzr,Transportation
Presto Fare/Q2cnvplqkz,Transportation
Presto Fare/Q2fgsqvfx7,Transportation
Presto Appl/5f54g6vhfw,Transportation
Presto Appl/5f54gdt8x7,Transportation
Presto Appl/5g4hdb9bjm,Transportation
Presto Appl/5g72gc6pzl,Transportation
Presto Appl/5g9595mcpz,Transportation
Presto Appl/5gd5ffr28j,Transportation
Presto Appl/5gl2lggpq7,Transportation
Presto Appl/5gmk54ll8g,Transportation
Presto Appl/5h26l3wms9,Transportation
Presto Appl/Pjn5j89r7w,Transportation
Presto Bloor Yonge Stn,Transportation
Presto Bloor Yonge Rel,Transportation
Presto Union Stn Stn,Transportation
Presto Rosedale Stn,Transportation
Presto Appleby Reload,Transportation
2024 Mississauga Half,Entertainment
2025 Chilly Half Marat,Entertainment
Mongodb* Mongodb.local,Entertainment
Ticketmaster Canada Ho,Entertainment
Axe & Hatchet-Liberty,Entertainment
Exhibition - Go Tvm,Transportation
Union Station - Go Tvm,Transportation
Circle K,Gas
Pita Lite Yonge/Sheppa,Restaurants
Pita Lite,Restaurants
Aisle 24- Novus St,Groceries
Lcbo/Rao,Alcohol
Uber* Pending,Transportation
Uber * Pending,Transportation
Uber* Trip,Transportation
Uber* Eats,Food Delivery
Uber* Eats Pending,Food Delivery
King And Shaw Vm Store,Groceries
180 Smoke Vape Shop,Shopping/Retail
180 Smoke Vape Store,Shopping/Retail
Golden Turtle Rest,Restaurants
The Salad House,Restaurants
Davinci Blendz,Personal Care
Gametime Social,Entertainment
Shoppers Drug Mart,Health/Pharmacy
Hudson's Bay,Shopping/Retail
Burlington Bowl Inc,Entertainment
The Communist's Daught,Restaurants
Tim Hortons,Restaurants
Shell C22005,Gas
Shell C12416,Gas
Aloette Go,Restaurants
Wok Boyz Canada,Restaurants
Tapps Restaurant,Restaurants
Wendy's,Restaurants
Shoeless Joe's Sports,Restaurants
Husky 43414,Gas
Dunes Vape,Shopping/Retail
Leetcode.com,Other
Big Bone Bbq Oakville,Restaurants
Dzo,Restaurants
Oh Bombay Burlington,Restaurants
Wings Up - Burlington,Restaurants
Petro Canada00123,Gas
Home Hardware Building,Shopping/Retail
Anytime Convenience,Groceries
Buds House - Burlingto,Restaurants
Mecp-Pinery Ppark,Entertainment
Pet Valu,Shopping/Retail
Thai Express Hai158,Restaurants
Plank Restobar Inc,Restaurants
Chestnut Cafe,Restaurants
Jasmine Rice,Restaurants
Shelbys,Restaurants
Tst-Joe Dogs Gasbar G,Restaurants
Shake Shack,Restaurants
The Beer Store,Alcohol
1863-Tor Relay T1 Tr,Travel
Fatpour Tap Works Mcco,Restaurants
Mhr Marquis Chicago,Travel
Pop's Cannabis Co - Li,Cannabis
Osmow's Shawarma,Restaurants
Canvas Retail Liberty,Cannabis
Pizzaville,Restaurants
Legends Music Llc,Entertainment
Day 'n' Nite Canna T.o,Cannabis
Dollarama,Shopping/Retail
Foodland,Groceries
Foodland 3415,Groceries
Havelock Pumps Limited,Other
Queen Shawarma,Restaurants
Subway 54563,Restaurants
Subway 32396,Restaurants
Lakeshore Woods Pharma,Health/Pharmacy
Ikea Burlington,Shopping/Retail
Struc-Tube Ltd/12424,Shopping/Retail
The Loose Moose Tap &,Restaurants
California Sandwiches,Restaurants
Joseph Brant Hospital,Health/Pharmacy
Bellamoreloss,Other
Jenniecrown34,Other
Petro Canada35207,Gas
Brodie League,Entertainment
Pizza Nova,Restaurants
John's Mart,Groceries
Brazen Head Irish Pub,Restaurants
Ap2000lolol,Other
Chicha San Chen,Restaurants
Local Liberty Vill,Restaurants
Manic Coffee,Restaurants
Gong Cha - West Block,Restaurants
Tip Top Tailors,Shopping/Retail
Cafe Diplomatico,Restaurants
Oishii Tea Oakville,Restaurants
Tribeca Coffee Co,Restaurants
Chatime Oakville,Restaurants
Famous Player,Entertainment
The Alley,Restaurants
Tst-Tahinis - 1921 Ki,Restaurants
Koi Sushi,Restaurants
Tiger Sports Shop Tige,Shopping/Retail
Claude.ai Subscription,Other
Hailed Coffee - Co,Restaurants
Dice.fm,Entertainment
Famous Footwear Outlet,Shopping/Retail
Porter Airlines,Travel
Arby's Burlington,Restaurants
Costco Wholesale W531,Shopping/Retail
The Sweet Escape Patis,Restaurants
Burger Drops,Restaurants
Toronto Parking Author,Parking
Bay Race,Entertainment
Ikki Sushi,Restaurants
The Olive Press Restau,Restaurants
Princess Nails And Spa,Personal Care
Ticketweb Canada,Entertainment
Uber Canada/Uberone,Transportation
Muji Atrium,Shopping/Retail
Cellicon 777 Guelph Li,Shopping/Retail
Thefiddler.substack.co,Other
Pho Vuong Hoang Vietna,Restaurants
The Pearl On Granv,Restaurants
Compass Account,Transportation
Compass Vending,Groceries
Aji Sai Sushi Bar,Restaurants
Kitanoya Guu With Ga,Restaurants
City Cannabis Co - 651,Cannabis
Real Cdn. Superstore,Groceries
7-Eleven Store,Groceries
At* Vancouver Aquarium,Entertainment
Pho 37 Restaurant,Restaurants
Nuba Restaurant Kitsil,Restaurants
0849 Van Pacific Coa,Restaurants
Reddy Convenience,Groceries
Swiss Chalet,Restaurants
Montfort Burloak,Restaurants
Stackedpancakehouse,Restaurants
Mcdonald's,Restaurants
Mezes,Restaurants
Cineplex Rec Room Ro,Entertainment
Coop Burlington,Restaurants
Light Cafe,Restaurants
Cineplex,Entertainment
Scotiabank Arena Con,Entertainment
Daldongnae 11,Restaurants
Comedy Bar,Entertainment
Pho Tien,Restaurants
Wch Tokyo 25 Ticket,Entertainment
Don Don Izakaya,Restaurants
Tst-Nana,Restaurants
Tst-Sundays,Restaurants
The Done Right Inn,Restaurants
Melrose On Adelaid,Restaurants
Liberty Eats,Restaurants
La Carnita \ Good Fort,Restaurants
Dear Saigon Burlington,Restaurants
Shooterville,Entertainment
You Don Ya,Restaurants
The Shozan Room,Restaurants
Presotea Dundas,Restaurants
Tst-Alphas Shawarma -,Restaurants
The Pilot,Restaurants
Twilight Cafe,Restaurants
Twilight Cafe Midtown,Restaurants
Petro-Canada 05539,Gas
Amzn Mktp Ca,Online Shopping
Ikea.ca Online,Online Shopping
Function Bar,Entertainment
Wendys 6107 Western Ba,Restaurants
400 Brant Kitchen,Restaurants
Pizzaville 141,Restaurants
The Charles Dickens,Restaurants
Beanfield Technologies,Utilities/Bills
Pita Pit,Restaurants
Second Cup,Restaurants
The Great Hall,Entertainment
Burlington Youth Socce,Entertainment
Dani & Matt's No Frill,Groceries
00410 Macs Conv. Store,Groceries
True North Cannabis,Cannabis
Tee Zone Driving Range,Entertainment
Mto Tsd So Burlington,Other
Havelock General S,Groceries
Sp Drool,Shopping/Retail
Admit One 437-242-1034,Entertainment
Felix Health Inc.,Health/Pharmacy
Www Costco Ca,Online Shopping
Bestbuycanada.ca,Online Shopping
Best Buy.ca,Online Shopping
Air Can*,Travel
AIR CAN* 0144291688449,Travel
AIR CAN* 0142305077664,Travel
Expedia 73176923437859,Travel
Nutbar,Restaurants
Oakville 21.1,Entertainment
Greek G.o.a.t.,Restaurants
Apple.com/Bill,Other
Taste Of Vietnam,Restaurants
Nanis Gelato Liber,Restaurants
Jordan's Nf Toronto Ki,Restaurants
Starbucks 8007827282,Restaurants
Enet,Utilities/Bills
Fido Mobile ******9773,Utilities/Bills
Fido Macc,Utilities/Bills
Tbj Concessions,Entertainment
Tst-Trattoria Nervosa,Restaurants
Anejo Don Mills,Restaurants
La Nayarita,Restaurants
Valud Buds West King,Cannabis
Forest Hill Farmho,Restaurants
Dairy Queen,Restaurants
Uber Holdings Canada I,Transportation
Marry Me Mochi Mobile,Restaurants
Steamed Fried Buns,Restaurants
Islas,Restaurants
Burlington Hyundai,Other
Sam's Grill Burlington,Restaurants
Ruby Thai Kitchen,Restaurants
Hemingway's Restaurant,Restaurants
7 West Cafe Inc,Restaurants
Appleby Home Hardware,Shopping/Retail
Super 8 Port Elgin,Travel
Mecp-Macgregor Pt Ppar,Entertainment
Mecp-Ontpark-Int-Reser,Entertainment
Princess Of Wales Thea,Entertainment
Starbucks Coffee,Restaurants
Krispy Kreme,Restaurants
Alexandros,Restaurants
Niagara Falls,Entertainment
4 U Bad Centre Inc.,Shopping/Retail
Torontonightmarket,Entertainment
Roses Newyork Restau,Restaurants
Jimmy's Coffee,Restaurants
Suica Mobile Payment,Transportation
Seven-Eleven,Groceries
Mitsuifudousanguru-Puu,Travel
Ro-Son,Travel
Reitoku Tokyotower,Travel
Sq*Klanka,Restaurants
Tokyo Tower Ticket Off,Entertainment
Meiji-Ya Hiroo Store,Groceries
Sikokusiyokuiti,Restaurants
Shinchan,Restaurants
Saitamaya,Restaurants
Cafe De Crie,Restaurants
Baiten Mori,Shopping/Retail
Oyoge,Restaurants
Le Pain Quotidien Oper,Restaurants
Tofuro Rotsupongiten,Restaurants
Dipperdanshibuyabeamte,Shopping/Retail
Tokiyosoramachi,Travel
Ponpadorurotsupongihon,Restaurants
Cafe 33,Restaurants
Tokyodome City Laqua,Entertainment
Roppongi Hills,Travel
Cinanabon Roppongiten,Restaurants
Ticket Counter,Entertainment
Uber Trip* Pending,Transportation
Azabudai Hills Market,Groceries
Kakiyasushi Nishiazabu,Restaurants
Teamlab Borderless,Entertainment
Hamarikyu Gardens,Entertainment
Haneda Airport Termina,Travel
Ba-Ga-Reboriyu-Shiyont,Restaurants
Acthotel Roppongi,Travel
Hanedakuukou,Travel
Mississauga Marathon,Entertainment
Arch Liberty Village,Rent/Housing
Starbucks,Restaurants
PAYMENT - THANK YOU / PAI EMENT - MERCI,Other
CASH BACK REWARD,Other
ANNUAL FEE,Other
COLLECTIVE GROWERS SOM OTTAWA,Cannabis
COLLECTIVE GROWERS SOMERS OTTAWA,Cannabis
THE GRASS HUT HAMILTON,Cannabis
PURPLE MEADOW CANNABIS OTTAWA,Cannabis
SWEET RELEAFS INC BURLINGTON,Cannabis
Cabbage Brothers 905-6286324,Cannabis
TOKYO SMOKE WATERLOO,Cannabis
OFFSIDE CANNABIS WOODBRIDGE,Cannabis
WOODYS ON CHURCH TORONTO,Restaurants
MOLLY BLOOMS IRISH PUB WATERLOO,Restaurants
THE SNOOTY FOX HAMILTON,Restaurants
MR FROG BURLINGTON,Restaurants
CHARLOTTE'S ROOM TORONTO,Restaurants
CHEF ON CALL WATERLOO,Restaurants
SUSHI ASANO BURLINGTON,Restaurants
JIMMY THE GREEK #30 OTTAWA,Restaurants
HOKKAIDO SUSHI OTTAWA,Restaurants
BURRITO BANDIDOS HAMILTON,Restaurants
CARIBBEAN FLAVAH OSHAWA,Restaurants
DOUGH BOX HAMILTON,Restaurants
RIGHT WINGERS HAMILTON,Restaurants
LAURELWOOD KITCHEN FOO WATERLOO,Restaurants
OLD BAGEL HOUSE DUNDAS,Restaurants
JINZAKAYA WATERLOO,Restaurants
MARY BROWN'S #6339 BURLINGTON,Restaurants
CHEEZAATAR CORPORATION HAMILTON,Restaurants
QUIK CHIK HAMILTON HAMILTON,Restaurants
PHO 89 OAKVILLE,Restaurants
WILD WING OAKVILLE,Restaurants
SHOELESS JOE'S - BRANT ST BURLINGTON,Restaurants
SQ *KANTO BY TITA FLIPS Toronto,Restaurants
SUSHI 168 JAPAN BUFFET NEPEAN,Restaurants
COCO FRESH TEA & JUICE HAMILTON,Restaurants
PHO EXCELLENT HAMILTON,Restaurants
RELM BURLINGTON,Shopping/Retail
BIG BEAR FOOD MART HAMILTON,Groceries
QUICKIE  #60 OTTAWA,Groceries
WATERLOO CENTRAL SUPER WATERLOO,Groceries
INS MARKET TORONTO,Groceries
A & M MARKET BURLINGTON,Groceries
UNIVERSITY CONVENIENCE WATERLOO,Groceries
NEITHERBY VARIETY WELLAND,Groceries
SHERKSTON SUPERMART & SHERKSTON,Groceries
MERRY FARMS INC LYNDEN,Groceries
BASILIQUE FINE FOOD HAMILTON,Groceries
HUSKY KENWOOD BURLINGTON,Gas
OFFER PETRO-CANADA,Gas
HAMILTON BIKE SHARE/SO HAMILTON,Transportation
OCT-CONFEDERATION-UOTT OTTAWA,Transportation
OCT-CONFEDERATION-RIDE OTTAWA,Transportation
OCT-CONFEDERATION-TREM OTTAWA,Transportation
CITY OF WATERLOO ONLINE WATERLOO,Utilities/Bills
OAKVILLE TOYOTA OAKVILLE,Transportation
MEGABUS CANADA ONTARIO,Travel
HISTORIC SITE NIAGARA-ON-TH,Travel
CANADA'S WONDERLAND-RE MAPLE,Entertainment
WEDGEWOOD GOLF CENTRE BURLINGTON,Entertainment
TCKTWEB*MILDORANGE 800-965-4827,Entertainment
RACE ROSTER LONDON,Entertainment
CANOE LANDING CRC TORONTO,Entertainment
BURLINGTON SPRINGS GOL BURLINGTON,Entertainment
Kijiji Canada Ltd 844-545-4543,Online Shopping
LOVE SHOP HAMILTON,Shopping/Retail
BURLINGTON GLASS BURLINGTON,Shopping/Retail
WWW.CANADIANTIRE.CA 8667467287,Shopping/Retail
180 SMOKE HAMILTON,Shopping/Retail
PINE AND DALE BARBER BURLINGTON,Personal Care
SQ *JDED BARBERSHOP Toronto,Personal Care
DR S. PETER YUN BURLINGTON,Health/Pharmacy
MONTFORT OAKVILLE,Health/Pharmacy
SQ *CAFE LANDWER BLOOR Toronto,Restaurants
IPHO CIETNAMESE RESTAU OTTAWA,Restaurants
IPHO CIETNAMESE RESTAURAN OTTAWA,Restaurants
IPHO VIETNAMESE WATERLOO,Restaurants
HEMISPHERE CANNABIS CO OTTAWA,Cannabis
PARLE OTTAWA,Restaurants
RIDEAU BOURBON ST. GRI OTTAWA,Restaurants
SQ *THE MINISTRY OF CO Ottawa,Restaurants
VAPANADA SANDY HILL OTTAWA,Shopping/Retail
HOKKAIDO BUBBLE TEA OTTAWA,Restaurants
BUD BROTHERS CANNABIS HAMILTON,Cannabis
THE FARMHOUSE CANNABIS BURLINGTON,Cannabis
RELM FAIRVIEW BURLINGTON,Shopping/Retail
MECP-OASTLER LK PPARK SEGUIN,Travel
SPIRIT OF YORK TORONTO,Alcohol
HERC'S NUTRITION BURLINGTON,Health/Pharmacy
MISS JONES FORT YORK TORONTO,Restaurants
JIMMY THE GREEK #018 BURLINGTON,Restaurants
MONFORT BURLOAK BURLINGTON,Restaurants
PRINCESS NAILS SALON BURLINGTON,Personal Care
SCADDABUSH BURLINGTON BURLINGTON,Restaurants
ROCK UNIVERSE BURLINGTON,Shopping/Retail
EH CANADA BURLINGTON,Shopping/Retail
SHOWCASE #85 BURLINGTON,Shopping/Retail
CABBAGE BROTHERS CANNA DUNDAS,Cannabis
OSMOW'S DUNDAS,Restaurants
SCADDABUSH OAKVILLE OAKVILLE,Restaurants
THE HANDMADE HOUSE BUR BURLINGTON,Shopping/Retail
THE HANDMADE HOUSE BURLIN BURLINGTON,Shopping/Retail
MUCHO BURRITO OAKVILLE,Restaurants
MR SUB HAMILTON,Restaurants
CHEFSPLATE*201311727 Toronto,Food Delivery
CHEFSPLATE*207184787 Toronto,Food Delivery
CHEFSPLATE*202946985 Toronto,Food Delivery
HELLOFRESH*258987856 Toronto,Food Delivery
HELLOFRESH*291421236 Toronto,Food Delivery
BIGBEE CONVENIENCE STO HAMILTON,Groceries
SUSHI KAN OTTAWA,Restaurants
THE HOME DEPOT #7115 OAKVILLE,Shopping/Retail
SP * LICLAR JEWELLERY BRADFORD WEST,Shopping/Retail
SP * TOQUES FROM THE H MISSISSAUGA,Shopping/Retail
CRUNCH 003 HAMILTON,Personal Care
BARBURRITO HAMILTON,Restaurants
OSMOW'S OAKVILLE,Restaurants
SQ *FESTIVAL CAFE Hamilton,Restaurants
CORA BREAKFAST AND LUN HAMILTON,Restaurants
THE ARCH NOODLE HOUSE HAMILTON,Restaurants
CAMPUS CONVENIENCE WATERLOO,Groceries
HARVEYS #2236 WATERLOO,Restaurants
MARBLE SLAB CREAMERY WATERLOO,Restaurants
PIPER ARMS PUB WATERLOO,Restaurants
LITTLE SHORT STOP STOR WATERLOO,Groceries
WAL-MART #1023 PARRY SOUND,Shopping/Retail
BULLOCK'S YIG #2719 HUNTSVILLE,Groceries
JOY SUSHI BAR BRANTFORD,Restaurants
GALAXY CINEMAS7268QPS WATERLOO,Entertainment
SPLITSVILLE ENTERTAINM HAMILTON,Entertainment
NOODLE ME HAMILTON HAMILTON,Restaurants
ELECTRIC DINER HAMILTON,Restaurants
BK #17885 WATERLOO,Restaurants
FRESH BURRITO(MEXICAN WATERLOO,Restaurants
BUD & SALLY CO WATERLOO,Shopping/Retail
ROCK CHAPEL GOLF CENTRE DUNDAS,Entertainment
SQ *WHISKY RUN GOLF CLUB Port Colborne,Entertainment
LOCH SIDE BAR AND LOUNGE BURLINGTON,Restaurants
A&W # 4942 OAKVILLE OAKVILLE,Restaurants
SQ *HUTCHINSON FARM Burlington,Groceries
WWW.THELES* TRIAL OVER HTTPSWWW.THEL,Other
MOSAIC HUT HAMILTON,Restaurants
Creately 0425753926,Utilities/Bills
PAYPAL *CONNETT ART R. 4029357733,Online Shopping
SOCIETY6.COM SOCIETY6.COM,Online Shopping
ETSY.COM ARTVOYAGER ETSY.COM,Online Shopping
Amazon.ca*O21SN47V3 AMAZON.CA,Online Shopping
TORONTO HEMP CO - ECOM TORONTO,Cannabis
TICKETMASTER1-855-9854357 TORONTO,Entertainment
TICKET PROTECTOR-CUMIS IN CAMBRIDGE,Other
LUSTER AND OAK WATERLOO,Shopping/Retail
JUICY DUMPLING TORONTO,Restaurants
IMPARK00120036U HAMILTON,Parking
WILDCRAFT WATERLOO,Restaurants
GONG CHA WATERLOO WATERLOO,Restaurants
CHURCH'S TEXAS CHICKEN WATERLOO,Restaurants
KINKAKU IZAKAYA KITCHENER,Restaurants
ROCKTON LIONS CLUB BRANCHTON,Other
PARK INDIGO - NO CTO451 TORONTO,Parking
MANCHU WOK TORONTO,Restaurants
LENSCRAFTERS 0929 BURLINGTON,Shopping/Retail
RVC REAL VAPOUR COMPANY WATERLOO,Shopping/Retail
HUSKY NEWTON  0145 HAMILTON,Gas
WATERFRONT SKATE RENTAL HAMILTON,Entertainment
WAL-MART SUPERCENTER#1156 WATERLOO,Shopping/Retail
PAYPAL *FINCHBEACHR 7058459491,Online Shopping
IMPARK00090473U TORONTO,Parking
ESSEX STREET  CONVENIENC NEW YORK,Groceries
SQ *HAMED RIVERA Fort Myers,Restaurants
TST* VIET VILLAGE FORT MYERS,Restaurants
PUBLIX #1262 FORT MYERS,Groceries
ANNIES PARAMOUNT STEAK 202-2320395,Restaurants
PLEASANTREES BURLINGTON,Cannabis
CANADA'S WONDERLAND-ESALE MAPLE,Entertainment
CANADA'S WONDERLAND -B VAUGHAN,Entertainment
VAPE NATION BURLINGTON BURLINGTON,Shopping/Retail
THE ART OF PHO OAKVILLE,Restaurants
2022 HAMILTON MARATHON LONDON,Entertainment
HEROKU AUG-70684355 HEROKU.COM,Utilities/Bills
HEROKU SEP-72145403 HEROKU.COM,Utilities/Bills
HEROKU OCT-74049471 HEROKU.COM,Utilities/Bills
HEROKU NOV-75093908 HEROKU.COM,Utilities/Bills
TEN SUSHI JAPANESE RESTAU GLOUCESTER,Restaurants
THERAGUN, LLC 3107737530
Nike-ESW-CAD Vancouver,Shopping/Retail
WINTRONIC COMPUTER PLU BURLINGTON,Shopping/Retail
ONLINE FOOD ORDERING HAMILTON,Food Delivery
WINTER VILLAGE 416-5407933,Entertainment
PARAMOUNT UNION STATION TORONTO,Restaurants
THE MULE HAMILTON,Restaurants
MR.SUB MRS0091 WATERLOO,Restaurants
MAPLE LEAF PANCAKE HOU HAMILTON,Restaurants
PARK INDIGO - NO CTO45 TORONTO,Parking
PARK INDIGO,Parking
MEL'S DINER ON CAMPUS WATERLOO,Restaurants
WINGS UP WATERLOO WATERLOO,Restaurants
THAI EXPRESS WATERLOO,Restaurants
ANGEL'S FAMILY RESTAUR WATERLOO,Restaurants
HAKKA FRESH BURLINGTON,Restaurants
INDIGO 977 BURLINGTON,Shopping/Retail
INDIGOSPIRIT 728 BURLINGTON,Shopping/Retail
BEST BUY #608 WATERLOO,Shopping/Retail
SWEET SEVEN CANNABIS C WATERLOO,Cannabis
INTERNATIONAL NEWS, WU WATERLOO
PHARMASAVE #723 WATERLOO,Health/Pharmacy
CIMA ENOTECA HAMILTON,Restaurants
FAIRWEATHER BREWING CO HAMILTON,Alcohol
India Village Restaura DUNDAS,Restaurants
ECONOMY LUBE AND TIRE WATERLOO,Transportation
Tobacco House FORT MYERS,Other
HARDEES 1504266 DUNN,Restaurants
BARREL HOUSE LIQUORS - WASHINGTON,Alcohol
BLUESTONE LANE - THE D WASHINGTON,Restaurants
WASHINGTON WELCOME CEN WASHINGTON,Travel
VILLA MADINA HAMILTON,Restaurants
FIREHOUSE SUBS BURLINGTON,Restaurants
RAY'S FOOD MART AND CO BURLINGTON,Groceries
BURRO BURLINGTON,Restaurants
DUNKY'S BURLINGTON,Restaurants
THE PUMP ON BRANT BURLINGTON,Restaurants
SQ *CUPCAKE PARADISE Toronto,Restaurants
ROYAL BOTANICAL GARDEN BURLINGTON,Entertainment
THE TRAP FONTHILL,Restaurants
NANNAA FOODS INC HAMILTON,Groceries
TIBET CAFE & BAR TORONTO,Restaurants
LE GOURMAND CAFE TORONTO,Restaurants
Pure Power juice bar OTTAWA,Restaurants
SHAFALI  BAZAAR OTTAWA,Groceries
LIBRAIR UNVDOTTAWA 949 OTTAWA,Shopping/Retail
ANGRY DRAGONZ OTTAWA,Restaurants
SWEET ART          QFF OTTAWA,Restaurants
SQ *LOU FAST FOOD Ottawa,Restaurants
